ticker,trades,net_pnl,gross_profit,gross_loss,wins,losses,win_rate,profit_factor,pnl_share
VZ,9,-37.144748967797,99.49941425055988,136.64416321835688,7,2,0.7777777777777778,0.7281643936123359,-0.0077935773208235
HST,3,-38.76859838492531,151.08188394301214,189.85048232793747,2,1,0.6666666666666666,0.7957940485083491,-0.00813428755151413
MAS,4,-38.93684106808257,25.86873883213434,64.80557990021691,2,2,0.5,0.39917455984446415,-0.008169587624775782
FOXA,1,-39.260418167801845,0.0,39.260418167801845,0,1,0.0,0.0,-0.008237479405336645
MHK,4,-39.854771822402654,122.00821842295204,161.8629902453547,2,2,0.5,0.7537746475461122,-0.008362184546487586
PLD,6,-40.135878312808586,116.72815616256469,156.86403447537327,5,1,0.8333333333333334,0.7441358789027597,-0.00842116529690976
UHS,4,-43.808050176472655,24.550727161230952,68.3587773377036,1,3,0.25,0.35914520588843074,-0.00919164715908711
NDSN,4,-44.68179523735398,21.20185678545795,65.88365202281193,2,2,0.5,0.32180755216964746,-0.009374973197891948
TRMB,3,-46.280827394096846,57.86815836283041,104.14898575692725,2,1,0.6666666666666666,0.5556286308720143,-0.009710476360475248
GL,3,-46.78680858147163,21.580923797487685,68.36773237895932,1,2,0.3333333333333333,0.3156594938364429,-0.009816639509137425
MAA,5,-48.81709935717788,29.27004529863609,78.08714465581397,3,2,0.6,0.3748382070781326,-0.01024262780045525
PGR,6,-50.079838080510626,252.49392964377057,302.5737677242812,4,2,0.6666666666666666,0.8344871782601272,-0.010507571087185325
AEE,5,-50.503803028558195,35.747205456839424,86.25100848539762,3,2,0.6,0.41445550706681256,-0.01059652588418213
FIS,5,-53.246141636460834,75.61810795697943,128.86424959344026,3,2,0.6,0.586804394512446,-0.01117191348470402
CMS,5,-54.44716310884894,21.470484718337843,75.91764782718678,4,1,0.8,0.2828128285429975,-0.011423907480332876
L,6,-55.0508324639643,53.28217681485694,108.33300927882124,3,3,0.5,0.491836949509289,-0.011550567208182485
ES,7,-55.370893143376875,109.53365047411933,164.9045436174962,5,2,0.7142857142857143,0.6642245754500723,-0.011617721186111365
DHR,3,-57.050790083609286,11.305090132534588,68.35588021614387,1,2,0.3333333333333333,0.1653857736421134,-0.0119701911060472
JNJ,3,-59.00961750099793,43.44523144479945,102.45484894579738,2,1,0.6666666666666666,0.42404270653684406,-0.012381185213149732
MCO,4,-61.74532354383791,19.18054027659673,80.92586382043464,2,2,0.5,0.23701372306826635,-0.012955181192780711
UDR,5,-62.44837519313795,39.431473718728284,101.87984891186623,4,1,0.8,0.38703898896473127,-0.013102692955320893
DOC,3,-63.41829253575622,13.24959741444809,76.66788995020431,1,2,0.3333333333333333,0.1728180783774496,-0.01330619751557668
GFS,2,-63.774171774161914,111.03182489860592,174.80599667276783,1,1,0.5,0.6351717161422931,-0.01338086681442684
YUM,6,-64.46317624536061,59.81413876198758,124.2773150073482,4,2,0.6666666666666666,0.48129571159829876,-0.01352543124869817
AMP,3,-64.47831641204232,10.026814305585617,74.50513071762794,2,1,0.6666666666666666,0.13457884321533403,-0.013528607903890707
EMN,3,-64.96948176078581,7.86547322297497,72.83495498376078,2,1,0.6666666666666666,0.10799036293396005,-0.013631662446702676
CHTR,3,-65.9911201814326,46.08932574796893,112.08044592940153,1,2,0.3333333333333333,0.4112164737192443,-0.013846018937094836
LIN,2,-66.03248175330918,0.0,66.03248175330918,0,2,0.0,0.0,-0.013854697272996645
HSY,3,-66.80359692325601,2.9574389206027263,69.76103584385874,1,2,0.3333333333333333,0.04239385044714869,-0.014016489878068515
